entry_time,entry_price,direction,sl_price,tp_price,position_size,consecutive_losses_at_entry,risk_percentage,marking_candle_time,marking_candle_high,marking_candle_low,pivot_type,pivot_price,pivot_time,entry_idx,status,exit_reason,exit_time,exit_price,pl_points,pl_rupees
2015-11-13 12:34:00,7760.900000000001,long,7757.85,,500,0,2.0,2015-11-13 12:34:00,7760.8,7757.85,high,7750.3,2015-11-13 11:20:00,77748,closed,SL,2015-11-13 12:32:00,7757.85,-3.050000000000182,-38125.00000000227
2015-11-13 14:48:01,7760.35,long,7758.0,,309,1,2.0,2015-11-13 14:48:01,7760.25,7758.0,high,7760.35,2015-11-13 13:35:00,77882,closed,SL,2015-11-13 14:47:01,7758.0,-2.350000000000364,-18153.75000000281
2015-11-16 09:33:00,7728.099999999999,short,7732.0,,218,2,2.0,2015-11-16 09:33:00,7732.0,7728.2,low,7757.65,2015-11-13 14:35:00,77942,closed,SL,2015-11-16 09:32:00,7732.0,-3.9000000000005457,-21255.000000002976
2015-11-16 10:25:00,7728.849999999999,short,7731.6,,112,3,1.6,2015-11-16 10:25:00,7731.6,7728.95,low,7758.65,2015-11-13 15:25:00,77994,closed,EOD_CLOSE,2015-11-13 15:25:00,7729.9,-1.050000000000182,-2940.0000000005093
2015-11-16 12:23:00,7795.150000000001,long,7793.35,,97,4,1.6,2015-11-16 12:23:00,7795.05,7793.35,high,7767.8,2015-11-16 11:10:00,78112,closed,SL,2015-11-16 12:27:00,7793.35,-1.800000000000182,-4365.000000000441
2015-11-17 12:03:00,7809.7,short,7811.65,,75,5,1.2,2015-11-17 12:03:00,7811.65,7809.8,low,7831.0,2015-11-17 10:50:00,78467,closed,SL,2015-11-17 12:02:00,7811.65,-1.949999999999818,-3656.249999999659
2015-11-19 13:54:00,7837.55,long,7835.45,,57,6,1.2,2015-11-19 13:54:00,7837.45,7835.45,high,7823.0,2015-11-19 12:40:00,79328,closed,SL,2015-11-19 13:52:00,7835.45,-2.100000000000364,-2992.5000000005184
2015-11-20 09:24:00,7845.650000000001,long,7839.8,,35,7,1.2,2015-11-20 09:24:00,7845.55,7839.8,high,7827.15,2015-11-19 14:25:00,79433,closed,SL,2015-11-20 09:32:00,7839.8,-5.850000000000364,-5118.750000000318
2015-11-20 14:04:00,7903.75,long,7901.2,,16,8,0.8,2015-11-20 14:04:00,7903.65,7901.2,high,7897.35,2015-11-20 12:50:00,79713,closed,SL,2015-11-20 14:02:00,7901.2,-2.550000000000182,-1020.0000000000728
2015-11-20 14:58:00,7863.65,short,7871.1,,5,9,0.8,2015-11-20 14:58:00,7871.1,7863.75,low,7886.25,2015-11-20 13:45:00,79767,closed,SL,2015-11-20 14:57:00,7871.1,-7.450000000000728,-931.250000000091
2015-11-23 11:31:00,7871.1,long,7868.3,,7,10,0.8,2015-11-23 11:31:00,7871.0,7868.3,high,7863.0,2015-11-23 10:15:00,79935,closed,SL,2015-11-23 11:27:00,7868.3,-2.800000000000182,-490.00000000003183
2015-11-23 14:16:00,7831.4,short,7834.5,,4,11,0.8,2015-11-23 14:16:00,7834.5,7831.5,low,7845.4,2015-11-23 13:00:00,80100,closed,SL,2015-11-23 14:27:00,7834.5,-3.100000000000364,-310.0000000000364
2015-11-26 11:39:00,7868.099999999999,short,7869.55,,3,12,0.4,2015-11-26 11:39:00,7869.55,7868.2,low,7868.75,2015-11-26 10:25:00,80693,closed,SL,2015-11-26 11:37:00,7869.55,-1.4500000000007276,-108.75000000005457
2015-11-26 14:53:00,7888.650000000001,long,7887.3,,2,13,0.4,2015-11-26 14:53:00,7888.55,7887.3,high,7884.3,2015-11-26 13:40:00,80887,closed,SL,2015-11-26 15:02:00,7887.3,-1.3500000000003638,-67.50000000001819
2015-11-30 12:28:00,7948.05,long,7946.85,,2,14,0.4,2015-11-30 12:28:00,7947.95,7946.85,high,7941.4,2015-11-30 11:15:00,81492,closed,SL,2015-11-30 12:27:00,7946.85,-1.199999999999818,-59.999999999990905
2015-11-30 13:44:00,7936.9,short,7939.85,,1,15,0.2,2015-11-30 13:44:00,7939.85,7937.0,low,7944.3,2015-11-30 12:30:00,81568,closed,SL,2015-11-30 13:42:00,7939.85,-2.9500000000007276,-73.75000000001819
2015-12-01 13:33:00,7944.849999999999,short,7948.1,,1,16,0.2,2015-12-01 13:33:00,7948.1,7944.95,low,7957.6,2015-12-01 12:20:00,81932,closed,SL,2015-12-01 13:32:00,7948.1,-3.2500000000009095,-81.25000000002274
2015-12-01 14:39:00,7955.650000000001,long,7953.25,,1,17,0.2,2015-12-01 14:39:00,7955.55,7953.25,high,7953.95,2015-12-01 13:25:00,81998,closed,SL,2015-12-02 10:22:00,7953.25,-2.4000000000005457,-60.00000000001364
2015-12-02 10:43:00,7921.0,short,7923.8,,1,18,0.1,2015-12-02 10:43:00,7923.8,7921.1,low,7957.0,2015-12-02 09:30:00,82137,closed,SL,2015-12-02 10:52:00,7923.8,-2.800000000000182,-70.00000000000455
2015-12-02 13:08:00,7915.0,short,7916.25,,1,19,0.1,2015-12-02 13:08:00,7916.25,7915.1,low,7920.6,2015-12-02 11:55:00,82282,closed,SL,2015-12-02 13:07:00,7916.25,-1.25,-31.25
2015-12-02 14:28:00,7928.6,long,7927.15,,1,20,0.1,2015-12-02 14:28:00,7928.5,7927.15,high,7920.15,2015-12-02 13:15:00,82362,closed,SL,2015-12-02 14:27:00,7927.15,-1.4500000000007276,-36.25000000001819
2015-12-03 11:48:00,7892.3,long,7890.6,,1,21,0.1,2015-12-03 11:48:00,7892.2,7890.6,high,7891.15,2015-12-03 10:35:00,82577,closed,SL,2015-12-03 11:47:00,7890.6,-1.699999999999818,-42.49999999999545
2015-12-03 13:05:00,7881.7,short,7883.8,,1,22,0.1,2015-12-03 13:05:00,7883.8,7881.8,low,7885.85,2015-12-03 11:50:00,82654,closed,SL,2015-12-03 13:02:00,7883.8,-2.100000000000364,-52.500000000009095
2015-12-04 15:23:00,7776.849999999999,short,7778.65,,1,23,0.1,2015-12-04 15:23:00,7778.65,7776.95,low,7797.95,2015-12-04 14:10:00,83167,closed,SL,2015-12-04 15:22:00,7778.65,-1.800000000000182,-45.00000000000455
2015-12-07 09:53:00,7802.650000000001,long,7798.3,,1,24,0.1,2015-12-07 09:53:00,7802.55,7798.3,high,7793.15,2015-12-04 14:55:00,83212,closed,SL,2015-12-07 10:17:00,7798.3,-4.350000000000364,-108.7500000000091
2015-12-07 10:58:00,7778.95,short,7781.75,,1,25,0.1,2015-12-07 10:58:00,7781.75,7779.05,low,7797.85,2015-12-07 09:45:00,83277,closed,SL,2015-12-07 10:57:00,7781.75,-2.800000000000182,-70.00000000000455
2015-12-07 14:13:00,7746.0,short,7748.4,,1,26,0.1,2015-12-07 14:13:00,7748.4,7746.1,low,7757.7,2015-12-07 13:00:00,83472,closed,SL,2015-12-07 14:12:00,7748.4,-2.399999999999636,-59.999999999990905
2015-12-08 10:04:00,7771.3,long,7768.1,,1,27,0.1,2015-12-08 10:04:00,7771.2,7768.1,high,7768.75,2015-12-07 15:05:00,83598,closed,SL,2015-12-08 10:02:00,7768.1,-3.199999999999818,-79.99999999999545
2015-12-08 10:14:00,7757.099999999999,short,7758.5,,1,28,0.1,2015-12-08 10:14:00,7758.5,7757.2,low,7762.6,2015-12-07 15:15:00,83608,closed,SL,2015-12-08 10:12:00,7758.5,-1.4000000000005457,-35.00000000001364
2015-12-08 14:13:00,7736.5,long,7735.0,,1,29,0.1,2015-12-08 14:13:00,7736.4,7735.0,high,7734.9,2015-12-08 13:00:00,83847,closed,SL,2015-12-08 14:52:00,7735.0,-1.5,-37.5
2015-12-08 15:18:00,7696.349999999999,short,7698.65,,1,30,0.1,2015-12-08 15:18:00,7698.65,7696.45,low,7731.35,2015-12-08 14:05:00,83912,closed,SL,2015-12-08 15:17:00,7698.65,-2.300000000000182,-57.50000000000455
2015-12-10 10:24:00,7636.950000000001,long,7633.3,,1,31,0.1,2015-12-10 10:24:00,7636.85,7633.3,high,7620.1,2015-12-09 15:25:00,84368,closed,SL,2015-12-10 10:22:00,7633.3,-3.6500000000005457,-91.25000000001364
2015-12-10 15:03:00,7681.55,long,7679.2,,1,32,0.1,2015-12-10 15:03:00,7681.45,7679.2,high,7677.15,2015-12-10 13:50:00,84647,closed,SL,2015-12-10 15:02:00,7679.2,-2.350000000000364,-58.750000000009095
2015-12-11 09:18:00,7678.200000000001,long,7674.4,,1,33,0.1,2015-12-11 09:18:00,7678.1,7674.4,high,7665.0,2015-12-10 14:20:00,84677,closed,SL,2015-12-11 09:32:00,7674.4,-3.8000000000010914,-95.00000000002728
2015-12-11 12:18:00,7632.0,short,7633.5,,1,34,0.1,2015-12-11 12:18:00,7633.5,7632.1,low,7665.55,2015-12-11 11:05:00,84857,closed,SL,2015-12-11 12:17:00,7633.5,-1.5,-37.5
2015-12-11 12:53:00,7596.25,short,7600.9,,1,35,0.1,2015-12-11 12:53:00,7600.9,7596.35,low,7637.7,2015-12-11 11:40:00,84892,closed,SL,2015-12-11 12:52:00,7600.9,-4.649999999999636,-116.2499999999909
2015-12-11 13:08:00,7605.599999999999,short,7608.3,,1,36,0.1,2015-12-11 13:08:00,7608.3,7605.7,low,7630.5,2015-12-11 11:55:00,84907,closed,SL,2015-12-11 13:07:00,7608.3,-2.7000000000007276,-67.50000000001819
2015-12-15 14:04:00,7679.400000000001,long,7675.3,,1,37,0.1,2015-12-15 14:04:00,7679.3,7675.3,high,7658.55,2015-12-15 12:50:00,85713,closed,SL,2015-12-15 14:02:00,7675.3,-4.100000000000364,-102.5000000000091
2015-12-15 14:28:00,7692.3,long,7689.3,,1,38,0.1,2015-12-15 14:28:00,7692.2,7689.3,high,7661.75,2015-12-15 13:15:00,85737,closed,SL,2015-12-15 14:27:00,7689.3,-3.0,-75.0
2015-12-16 11:33:00,7753.45,short,7754.8,,1,39,0.1,2015-12-16 11:33:00,7754.8,7753.55,low,7753.5,2015-12-16 10:20:00,85937,closed,SL,2015-12-16 11:47:00,7754.8,-1.3500000000003638,-33.750000000009095
2015-12-16 12:33:00,7776.25,long,7774.9,,1,40,0.1,2015-12-16 12:33:00,7776.15,7774.9,high,7759.4,2015-12-16 11:20:00,85997,closed,SL,2015-12-16 12:32:00,7774.9,-1.3500000000003638,-33.750000000009095
2015-12-16 14:24:00,7748.349999999999,short,7752.3,,1,41,0.1,2015-12-16 14:24:00,7752.3,7748.45,low,7755.25,2015-12-16 13:10:00,86108,closed,SL,2015-12-16 14:42:00,7752.3,-3.9500000000007276,-98.75000000001819
2015-12-17 09:38:00,7774.25,long,7770.7,,1,42,0.1,2015-12-17 09:38:00,7774.15,7770.7,high,7768.05,2015-12-16 14:40:00,86197,closed,SL,2015-12-17 09:37:00,7770.7,-3.550000000000182,-88.75000000000455
2015-12-17 12:59:00,7745.599999999999,short,7746.95,,1,43,0.1,2015-12-17 12:59:00,7746.95,7745.7,low,7749.4,2015-12-17 11:45:00,86398,closed,SL,2015-12-17 12:57:00,7746.95,-1.3500000000003638,-33.750000000009095
2015-12-22 09:58:00,7817.299999999999,short,7818.65,,1,44,0.1,2015-12-22 09:58:00,7818.65,7817.4,low,7824.0,2015-12-21 15:00:00,87342,closed,SL,2015-12-22 09:57:00,7818.65,-1.3500000000003638,-33.750000000009095
2015-12-22 10:42:00,7825.95,short,7827.1,,1,45,0.1,2015-12-22 10:42:00,7827.1,7826.05,low,7827.9,2015-12-21 15:25:00,87368,closed,EOD_CLOSE,2015-12-21 15:25:00,7825.75,0.1999999999998181,4.9999999999954525
2015-12-22 14:18:00,7807.5,short,7811.65,,1,0,2.0,2015-12-22 14:18:00,7811.65,7807.6,low,7830.1,2015-12-22 13:05:00,87584,closed,SL,2015-12-22 14:17:00,7811.65,-4.149999999999636,-103.7499999999909
2015-12-23 11:59:00,7857.049999999999,short,7858.3,,1,1,2.0,2015-12-23 11:59:00,7858.3,7857.15,low,7857.6,2015-12-23 10:45:00,87820,closed,SL,2015-12-23 11:57:00,7858.3,-1.2500000000009095,-31.250000000022737
2015-12-24 11:09:00,7866.200000000001,long,7864.65,,1,2,2.0,2015-12-24 11:09:00,7866.1,7864.65,high,7863.95,2015-12-24 09:55:00,88145,closed,SL,2015-12-24 11:07:00,7864.65,-1.5500000000010914,-38.750000000027285
