,total_trades,wins,losses,win_rate,year_pl,cumulative_pl,avg_win,avg_loss,max_win,max_loss,profit_factor,max_drawdown,year_return,year_start_capital,year_end_capital,trades_per_month,gross_profit,gross_loss,ema_exits,sl_exits,rr_achieved
2015,230,67,163,29.130434782608695,703.1499999999032,703.1499999999032,20.80298507462645,-4.2371165644176,155.55000000000018,-8.25,2.0180988923475467,79.45000000001983,162.48402105374058,100000.0,262484.0210537406,19.166666666666668,1393.799999999972,690.6500000000688,61,160,0
2016,238,59,179,24.789915966386555,726.1999999999107,1429.349999999814,22.758474576270864,-3.4444134078216213,149.54999999999927,-7.200000000000728,2.1778444570591646,70.75000000000637,175.5000746274829,262484.0210537406,723143.6738882732,19.833333333333332,1342.749999999981,616.5500000000702,62,170,0
2017,240,63,177,26.25,328.94999999991524,1758.2999999997292,15.643650793650291,-3.7096045197743113,99.45000000000073,-8.649999999999636,1.5009899482179236,128.25000000002365,45.808350120876675,723143.6738882732,1054403.859899984,20.0,985.5499999999683,656.6000000000531,64,166,0
2018,241,49,192,20.33195020746888,691.6499999999178,2449.949999999647,32.810204081632406,-4.771093750000365,240.70000000000073,-10.600000000000364,1.7550352055017355,192.30000000002474,101.25971605388584,1054403.859899984,2122090.21449592,20.083333333333332,1607.699999999988,916.0500000000702,49,184,0
2019,232,53,179,22.844827586206897,531.4999999999145,2981.4499999995614,27.86886792452798,-5.282402234637254,180.20000000000073,-11.5,1.562106710380071,93.40000000001601,65.15417476939665,2122090.21449592,3504720.581612856,19.333333333333332,1477.049999999983,945.5500000000684,54,169,0
2020,241,59,182,24.481327800829874,2039.1999999998952,5020.649999999457,54.91101694915234,-6.596428571429082,324.6999999999989,-11.600000000000364,2.698554829036473,313.05000000005566,960.692103937477,3504720.581612856,37174294.474239185,20.083333333333332,3239.749999999988,1200.550000000093,59,173,0
2021,243,46,197,18.930041152263374,-192.39999999989595,4828.249999999561,33.37717391304376,-8.770304568527457,173.85000000000218,-17.899999999997817,0.8886412964839207,621.6499999998905,-14.768100178622849,37174294.474239185,31684357.425587285,20.25,1535.350000000013,1727.749999999909,55,185,0
2022,237,52,185,21.940928270042196,703.7500000002528,5531.999999999814,47.67596153846227,-9.596756756755594,263.65000000000146,-17.349999999998545,1.3963895460179891,317.7499999999509,50.93575602842348,31684357.425587285,47823024.4230581,19.75,2479.150000000038,1775.399999999785,52,178,0
2023,234,47,187,20.085470085470085,513.8500000003514,6045.850000000165,41.25212765957645,-7.620320855613592,202.65000000000146,-16.69999999999709,1.360596491228382,279.0999999998421,34.065844332984,47823024.4230581,64114341.47834199,19.5,1938.8500000000931,1424.9999999997417,51,175,0
2024,229,41,188,17.903930131004365,654.8500000003405,6700.7000000005055,68.4841463414648,-11.452127659572959,379.7999999999993,-21.75,1.3041569902463663,451.2999999998683,29.172320084219162,64114341.47834199,82817982.3942932,19.083333333333332,2807.8500000000568,2152.9999999997162,42,177,0
2025,27,4,23,14.814814814814813,-120.94999999997526,6579.75000000053,39.73750000000109,-12.169565217390419,97.29999999999927,-21.25,0.5678813862094174,135.84999999998035,-6.373458348642664,82817982.3942932,77539612.78120671,2.25,158.95000000000437,279.8999999999796,5,22,0
